,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,184.0,213.0,278.0,312.0,391.0,530.0,461.0,570.0,696.0,828.0
Expenses,,166.0,191.0,213.0,213.0,218.0,316.0,332.0,394.0,436.0,534.0
Operating Profit,,17.0,22.0,65.0,98.0,173.0,214.0,129.0,176.0,261.0,294.0
OPM %,,9.0,10.0,23.0,32.0,44.0,40.0,28.0,31.0,37.0,36.0
Other Income,,7.0,9.0,8.0,11.0,5.0,8.0,9.0,11.0,10.0,11.0
Interest,,12.0,11.0,10.0,7.0,4.0,4.0,3.0,5.0,2.0,2.0
Depreciation,,5.0,5.0,5.0,6.0,7.0,10.0,12.0,16.0,20.0,28.0
Profit before tax,,8.0,14.0,57.0,96.0,167.0,207.0,123.0,166.0,248.0,275.0
Tax %,,30.0,40.0,31.0,24.0,26.0,27.0,27.0,28.0,24.0,24.0
Net Profit,,6.0,9.0,39.0,73.0,124.0,152.0,90.0,119.0,188.0,209.0
EPS in Rs,,3.87,5.96,26.93,50.11,16.89,18.86,11.17,14.8,23.35,25.98
Dividend Payout %,,0.0,0.0,0.0,20.0,3.0,3.0,5.0,5.0,4.0,4.0
Sales Growth %,Sales,,15.86,30.5,12.17,25.53,35.49,-13.04,23.73,22.12,18.87
Material Cost %,Expenses,66.92,63.64,52.57,44.44,32.75,36.94,39.23,38.88,30.32,30.68
Manufacturing Cost %,Expenses,10.45,10.05,0.0,5.53,5.72,6.13,10.81,10.0,11.0,0.0
Employee Cost %,Expenses,8.43,7.66,0.0,8.21,8.37,9.29,12.08,11.87,11.58,11.68
Other Cost %,Expenses,4.74,8.34,24.13,10.25,8.89,7.27,9.92,8.38,9.64,22.12
Exceptional items,Other Income,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,0.0,-0.01,-0.46
Other income normal,Other Income,7.19,8.6,8.02,11.07,5.01,7.58,9.6,10.64,9.82,11.49
Exceptional items AT,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
Profit excl Excep,Net Profit,6.0,9.0,39.0,73.0,124.0,152.0,90.0,119.0,188.0,209.0
Profit for PE,Net Profit,6.0,9.0,39.0,73.0,124.0,152.0,90.0,119.0,188.0,209.0
Profit for EPS,Net Profit,6.0,9.0,39.0,73.0,124.0,152.0,90.0,119.0,188.0,209.0
Profit Growth %,Net Profit,,54.0,352.0,86.0,68.0,23.0,-41.0,32.0,58.0,11.0
