,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
Expenses,,0.0,0.0,0.0,0.0,0.0,9.0,16.0,10.0,14.0,11.0,10.0
Operating Profit,,-0.0,-0.0,-0.0,-0.0,-0.0,-9.0,-16.0,-8.0,-13.0,-10.0,-9.0
OPM %,,-392.0,-2550.0,-1098.0,-958.0,,,,,,,
Other Income,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,7.0,7.0,4.0
Interest,,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,6.0,6.0,8.0
Depreciation,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,,0.0,-0.0,-0.0,-0.0,-1.0,-10.0,-19.0,-8.0,-12.0,-9.0,-14.0
Tax %,,0.0,0.0,-13.0,-25.0,-26.0,-20.0,-19.0,-20.0,-19.0,-17.0,
Net Profit,,0.0,-0.0,-0.0,-0.0,-1.0,-7.0,-15.0,-6.0,-10.0,-8.0,-11.0
EPS in Rs,,-0.03,-0.26,-0.52,-0.23,-0.34,-0.26,-0.39,,,,
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sales Growth %,Sales,,,,,,,,,-74.0,75.0,8.79
Manufacturing Cost %,Expenses,,,,,,,,0.0,2.0,20.0,0.0
Employee Cost %,Expenses,,,,,,,,18.0,87.0,54.0,44.0
Other Cost %,Expenses,,,,,,,,473.0,2562.0,1124.0,1013.0
Other income normal,Other Income,0.06,0.06,0.04,0.02,0.1,0.37,3.16,6.53,7.45,6.92,4.06
Profit excl Excep,Net Profit,0.0,-0.01,-0.03,-0.13,-0.76,-7.45,-14.86,-6.47,-9.82,-7.52,-11.22
Profit for PE,Net Profit,0.0,-0.01,-0.03,-0.13,-0.76,-7.45,-14.86,-6.47,-9.82,-7.52,-11.22
Profit for EPS,Net Profit,0.0,-0.01,-0.03,-0.13,-0.76,-7.45,-14.86,-6.47,-9.82,-7.52,-11.22
Profit Growth %,Net Profit,,,-200.0,-333.33,-484.62,-880.26,-99.46,56.46,-51.78,23.42,-49.2
