,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,642.0,690.0,841.0,945.0,867.0,1098.0,1603.0
Expenses,,577.0,624.0,743.0,832.0,805.0,983.0,1430.0
Operating Profit,,64.0,66.0,98.0,113.0,63.0,115.0,173.0
OPM %,,10.0,10.0,12.0,12.0,7.0,10.0,11.0
Other Income,,11.0,5.0,31.0,14.0,15.0,17.0,29.0
Interest,,45.0,27.0,25.0,35.0,16.0,17.0,15.0
Depreciation,,16.0,16.0,18.0,20.0,23.0,29.0,34.0
Profit before tax,,15.0,29.0,86.0,73.0,38.0,87.0,154.0
Tax %,,19.0,20.0,21.0,28.0,26.0,27.0,26.0
Net Profit,,12.0,23.0,67.0,52.0,28.0,63.0,113.0
EPS in Rs,,754.25,1345.65,3958.05,9.06,4.26,9.59,16.92
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,7.57,21.76,12.37,-8.21,26.63,45.99
Material Cost %,Expenses,64.0,66.0,66.0,63.0,64.0,64.0,66.0
Manufacturing Cost %,Expenses,2.0,2.0,2.0,2.0,2.0,2.0,0.0
Employee Cost %,Expenses,18.0,17.0,16.0,18.0,21.0,18.0,18.0
Other Cost %,Expenses,5.0,5.0,5.0,4.0,5.0,5.0,6.0
Exceptional items,Other Income,-0.02,0.62,20.07,-0.09,6.5,4.69,0.0
Other income normal,Other Income,11.28,4.81,10.82,14.48,8.28,12.41,28.92
Minority share,Net Profit,-1.0,-2.0,-4.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,-0.0,0.0,15.0,-0.0,4.0,3.0,0.0
Profit excl Excep,Net Profit,12.0,23.0,52.0,53.0,24.0,60.0,113.0
Profit for PE,Net Profit,12.0,21.0,49.0,53.0,24.0,60.0,113.0
Profit for EPS,Net Profit,12.0,21.0,63.0,52.0,28.0,63.0,113.0
Profit Growth %,Net Profit,,82.0,131.0,8.0,-54.0,150.0,88.0
