,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1423.0,1826.0,2012.0,2184.0,2604.0,3193.0,3489.0,3642.0,3739.0
Expenses,,949.0,1289.0,1394.0,1507.0,1861.0,2251.0,2472.0,2598.0,2820.0
Operating Profit,,474.0,537.0,618.0,678.0,743.0,942.0,1017.0,1045.0,918.0
OPM %,,33.0,29.0,31.0,31.0,29.0,30.0,29.0,29.0,25.0
Other Income,,53.0,75.0,153.0,94.0,75.0,63.0,77.0,101.0,-6.0
Interest,,23.0,32.0,35.0,28.0,24.0,45.0,47.0,53.0,49.0
Depreciation,,131.0,164.0,219.0,274.0,310.0,366.0,426.0,433.0,453.0
Profit before tax,,372.0,415.0,517.0,469.0,484.0,594.0,621.0,660.0,411.0
Tax %,,18.0,20.0,20.0,14.0,18.0,22.0,18.0,25.0,23.0
Net Profit,,305.0,332.0,412.0,405.0,396.0,464.0,510.0,496.0,317.0
EPS in Rs,,7.64,8.29,10.3,10.12,9.88,11.57,12.69,12.33,7.86
Dividend Payout %,,7.0,3.0,0.0,0.0,10.0,11.0,10.0,10.0,16.0
Sales Growth %,Sales,,28.28,10.2,8.57,19.22,22.61,9.26,4.41,2.64
Material Cost %,Expenses,26.82,29.1,25.82,24.1,28.76,26.94,26.66,25.88,24.57
Manufacturing Cost %,Expenses,8.17,7.64,7.98,9.07,8.66,8.69,8.99,9.77,0.0
Employee Cost %,Expenses,26.79,26.0,28.96,30.33,27.77,26.54,25.67,27.18,29.55
Other Cost %,Expenses,4.93,7.86,6.53,5.47,6.27,8.33,9.53,8.49,21.31
Exceptional items,Other Income,20.0,4.0,74.0,31.0,-26.0,-8.0,-14.0,29.0,-77.0
Other income normal,Other Income,32.0,71.0,79.0,62.0,101.0,71.0,91.0,72.0,71.0
Exceptional items AT,Net Profit,16.0,3.0,54.0,25.0,-22.0,-6.0,-11.0,23.0,-59.0
Profit excl Excep,Net Profit,289.0,328.0,358.0,380.0,418.0,470.0,521.0,473.0,376.0
Profit for PE,Net Profit,289.0,328.0,358.0,380.0,418.0,470.0,521.0,473.0,376.0
Profit for EPS,Net Profit,305.0,332.0,412.0,405.0,396.0,464.0,510.0,496.0,317.0
Profit Growth %,Net Profit,,13.0,9.0,6.0,10.0,13.0,11.0,-9.0,-21.0
