,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,126.0,201.0,325.0,500.0,640.0,815.0,1093.0,1365.0,1750.0,2192.0
Interest,,36.0,53.0,115.0,185.0,207.0,209.0,277.0,389.0,542.0,650.0
Expenses,,32.0,47.0,67.0,86.0,101.0,144.0,196.0,218.0,270.0,371.0
Financing Profit,,58.0,101.0,143.0,230.0,332.0,461.0,621.0,758.0,939.0,1171.0
Financing Margin %,,46.0,50.0,44.0,46.0,52.0,57.0,57.0,56.0,54.0,53.0
Other Income,,0.0,3.0,13.0,23.0,19.0,26.0,40.0,44.0,48.0,53.0
Depreciation,,2.0,2.0,3.0,6.0,6.0,7.0,7.0,9.0,12.0,13.0
Profit before tax,,56.0,101.0,153.0,247.0,345.0,480.0,654.0,793.0,975.0,1211.0
Tax %,,34.0,34.0,27.0,15.0,23.0,23.0,23.0,23.0,23.0,22.0
Net Profit,,37.0,67.0,112.0,211.0,267.0,370.0,503.0,612.0,751.0,943.0
EPS in Rs,,4.73,8.49,14.18,22.74,28.77,7.45,10.1,12.26,15.03,18.83
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,37.0,30.0,24.0
Manufacturing Cost %,Expenses,0.26,0.17,0.14,0.23,0.2,0.19,0.3,0.07,0.08,0.17
Employee Cost %,Expenses,18.23,17.52,15.39,13.03,11.29,10.48,11.2,10.99,10.2,10.57
Other Cost %,Expenses,7.09,5.78,5.14,3.9,4.23,7.05,6.42,4.89,5.14,6.18
Other income normal,Other Income,0.0,3.0,13.0,23.0,19.0,26.0,40.0,44.0,48.0,53.0
Profit excl Excep,Net Profit,37.0,67.0,112.0,211.0,267.0,370.0,503.0,612.0,751.0,943.0
Profit for PE,Net Profit,37.0,67.0,112.0,211.0,267.0,370.0,503.0,612.0,751.0,943.0
Profit for EPS,Net Profit,37.0,67.0,112.0,211.0,267.0,370.0,503.0,612.0,751.0,943.0
Profit Growth %,Net Profit,,79.0,67.0,89.0,27.0,39.0,36.0,22.0,23.0,26.0
