,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,254.0,280.0,360.0,711.0,1039.0,1374.0,1796.0
Expenses,,119.0,113.0,151.0,287.0,380.0,517.0,641.0
Operating Profit,,135.0,166.0,209.0,424.0,660.0,857.0,1155.0
OPM %,,53.0,59.0,58.0,60.0,63.0,62.0,64.0
Other Income,,8.0,30.0,31.0,33.0,74.0,36.0,54.0
Interest,,70.0,97.0,122.0,237.0,328.0,336.0,366.0
Depreciation,,103.0,172.0,212.0,356.0,473.0,636.0,829.0
Profit before tax,,-31.0,-72.0,-94.0,-136.0,-68.0,-79.0,14.0
Tax %,,-28.0,-25.0,-26.0,-26.0,-26.0,-20.0,24.0
Net Profit,,-22.0,-54.0,-70.0,-101.0,-50.0,-63.0,11.0
EPS in Rs,,-2.9,-7.02,-9.06,-13.01,-6.32,-6.12,0.92
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,10.26,28.83,97.48,46.1,32.2,30.69
Material Cost %,Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.44
Manufacturing Cost %,Expenses,0.0,0.0,29.06,29.8,27.62,28.08,0.0
Employee Cost %,Expenses,7.82,6.69,7.12,5.74,4.77,4.76,5.28
Other Cost %,Expenses,39.07,33.86,5.8,4.86,4.13,4.77,29.96
Exceptional items,Other Income,0.0,0.0,-3.0,0.0,0.0,2.0,0.0
Other income normal,Other Income,8.0,30.0,34.0,33.0,73.0,34.0,54.0
Exceptional items AT,Net Profit,0.0,0.0,-3.0,0.0,0.0,2.0,0.0
Profit excl Excep,Net Profit,-22.0,-54.0,-67.0,-101.0,-50.0,-65.0,11.0
Profit for PE,Net Profit,-22.0,-54.0,-67.0,-101.0,-50.0,-65.0,11.0
Profit for EPS,Net Profit,-22.0,-54.0,-70.0,-101.0,-50.0,-63.0,11.0
Profit Growth %,Net Profit,,-142.0,-24.0,-51.0,50.0,-29.0,116.0
