,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,225.0,236.0,295.0,458.0,617.0,823.0,1133.0,1317.0
Expenses,,185.0,188.0,225.0,335.0,436.0,612.0,841.0,1007.0
Operating Profit,,40.0,48.0,70.0,123.0,181.0,211.0,292.0,310.0
OPM %,,18.0,20.0,24.0,27.0,29.0,26.0,26.0,24.0
Other Income,,-1.0,0.0,0.0,0.0,2.0,1.0,0.0,23.0
Interest,,3.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0
Depreciation,,8.0,8.0,8.0,13.0,24.0,25.0,28.0,31.0
Profit before tax,,29.0,37.0,61.0,107.0,157.0,186.0,262.0,298.0
Tax %,,27.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0
Net Profit,,21.0,28.0,45.0,80.0,117.0,139.0,196.0,222.0
EPS in Rs,,203.37,269.45,438.27,19.4,28.18,33.51,47.25,53.63
Dividend Payout %,,22.0,1.0,1.0,5.0,5.0,6.0,5.0,7.0
Sales Growth %,Sales,,4.95,24.86,55.42,34.71,33.38,37.67,16.24
Manufacturing Cost %,Expenses,56.0,52.0,53.0,54.0,54.0,53.0,57.0,0.0
Employee Cost %,Expenses,19.0,21.0,19.0,15.0,14.0,11.0,10.0,10.0
Other Cost %,Expenses,7.0,7.0,5.0,4.0,3.0,10.0,8.0,66.0
Exceptional items,Other Income,-1.07,-0.03,0.05,0.02,-0.04,-0.09,0.1,0.0
Other income normal,Other Income,0.07,0.1,0.03,0.36,1.67,1.5,0.06,23.27
Exceptional items AT,Net Profit,-1.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
Profit excl Excep,Net Profit,22.0,28.0,45.0,80.0,117.0,139.0,196.0,222.0
Profit for PE,Net Profit,22.0,28.0,45.0,80.0,117.0,139.0,196.0,222.0
Profit for EPS,Net Profit,21.0,28.0,45.0,80.0,117.0,139.0,196.0,222.0
Profit Growth %,Net Profit,,28.0,62.0,77.0,45.0,19.0,41.0,14.0
