year,sifma_total_corp_value_usd_bn,sifma_total_corp_count,hy_share,hy_value_usd_bn,hy_number_of_issues,sp500_year_end
2001,775.0,1545.0,0.099,76.73,153.0,1148.0799560546875
2002,636.0,1456.0,0.09,57.24,131.0,879.8200073242188
2003,775.6,1610.0,0.178,138.06,287.0,1111.9200439453125
2004,780.7,1521.0,0.181,141.31,275.0,1211.9200439453125
2005,751.9,1320.0,0.128,96.24,169.0,1248.2900390625
2006,1056.7,1390.0,0.136,143.71,189.0,1418.300048828125
2007,1127.5,1610.0,0.121,136.43,195.0,1468.3599853515625
2008,709.0,1080.0,0.063,44.67,68.0,903.25
2009,975.3,1386.0,0.17,165.8,236.0,1115.0999755859375
2010,1112.1,1811.0,0.258,286.92,467.0,1257.6400146484375
2011,1059.7,1602.0,0.231,244.79,370.0,1257.5999755859375
2012,1411.8,2102.0,0.244,344.48,513.0,1426.18994140625
2013,1443.5,2023.0,0.233,336.34,471.0,1848.3599853515625
2014,1501.2,1803.0,0.207,310.75,373.0,2058.89990234375
2015,1531.1,1448.0,0.17,260.29,246.0,2043.93994140625
2016,1564.7,1560.0,0.146,228.45,228.0,2238.830078125
2017,1686.3,1806.0,0.165,278.24,298.0,2673.610107421875
2018,1390.9,1431.0,0.122,169.69,175.0,2506.85009765625
2019,1464.3,1543.0,0.185,270.9,285.0,3230.780029296875
2020,2377.1,2302.0,0.183,435.01,421.0,3756.070068359375
2021,2060.1,2081.0,0.225,463.52,468.0,4766.18017578125
2022,1403.8,1106.0,0.073,102.48,81.0,3839.5
2023,1507.6,1329.0,0.117,176.39,155.0,4769.830078125
2024,1968.9,1811.0,0.162,318.96,293.0,5881.6298828125
2025,2200.0,1900.0,0.155,341.0,294.0,6845.5
2026,,,,,,7398.93017578125
