rank,symbol,name,score,grade,one_year_direction
1,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,87,Outstanding,declined
2,SMARTWORKS,Smartworks Coworking,84,Outstanding,declined
3,THELEELA,Leela Palaces Hotels,84,Outstanding,declined
4,CAPLIPOINT,Caplin Point Laboratories Ltd.,83,Outstanding,declined
5,CORONA,CORONA Remedies,83,Outstanding,declined
6,PIDILITIND,Pidilite Industries Ltd.,83,Outstanding,declined
7,TRITURBINE,Triveni Turbine Ltd.,83,Outstanding,declined
8,VIJAYA,Vijaya Diagnost.,82,Outstanding,declined
9,RAINBOW,Rainbow Child.,81,Outstanding,declined
10,TRAVELFOOD,Travel Food,81,Outstanding,held steady
11,AGARWALEYE,Dr. Agarwal's Health,80,Outstanding,held steady
12,CAMS,Cams Services,80,Outstanding,declined
13,COLPAL,Colgate Palmolive (India) Ltd.,80,Outstanding,held steady
14,JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,80,Outstanding,declined
15,LALPATHLAB,Dr. Lal Path Labs Ltd.,80,Outstanding,improved
16,LENSKART,Lenskart Solut.,80,Outstanding,improved
17,MEDANTA,Global Health,80,Outstanding,declined
18,PHOENIXLTD,Phoenix Mills Ltd.,80,Outstanding,held steady
19,SOLARINDS,Solar Industries India Ltd.,80,Outstanding,declined
20,EICHERMOT,Eicher Motors Ltd.,79,Strong,declined
21,JLHL,Jupiter Life Line,79,Strong,declined
22,KFINTECH,KFin Technolog.,79,Strong,declined
23,MANORAMA,Manorama Inds,79,Strong,declined
24,METROPOLIS,Metropolis Health.,79,Strong,declined
25,CAPILLARY,Capillary Techno Ind,78,Strong,declined
26,INDHOTEL,Indian Hotels Co. Ltd.,78,Strong,improved
27,PRUDENT,Prudent,78,Strong,declined
28,ZYDUSLIFE,Zydus Lifesci.,78,Strong,declined
29,BHARTIHEXA,Bharti Hexacom,77,Strong,declined
30,GILLETTE,Gillette India Ltd.,77,Strong,declined
31,LLOYDSENGG,Lloyds Engr Works,77,Strong,held steady
32,CRISIL,CRISIL Ltd.,76,Strong,held steady
33,GRWRHITECH,Garware Hi Tech,76,Strong,declined
34,IPCALAB,Ipca Laboratories Ltd.,76,Strong,improved
35,NAUKRI,Info Edge (India) Ltd.,76,Strong,held steady
36,POLYCAB,Polycab India,76,Strong,declined
37,PRIVISCL,Privi Speciality Che,76,Strong,declined
38,ASTRAL,Astral Poly Technik Ltd.,75,Strong,declined
39,BAJAJ-AUTO,Bajaj Auto Ltd.,75,Strong,declined
40,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,75,Strong,improved
41,MARICO,Marico Ltd.,75,Strong,improved
42,NYKAA,FSN E-Commerce,75,Strong,held steady
43,RUBICON,Rubicon Research,75,Strong,declined
44,TORNTPHARM,Torrent Pharmaceuticals Ltd.,75,Strong,held steady
45,ACE,Action Const.Eq.,74,Strong,declined
46,APLAPOLLO,APL Apollo Tubes Ltd.,74,Strong,held steady
47,ASIANPAINT,Asian Paints Ltd.,74,Strong,declined
48,BSE,BSE Ltd.,74,Strong,declined
49,EMCURE,Emcure Pharma,74,Strong,held steady
50,INDIGOPNTS,Indigo Paints,74,Strong,declined
51,SHAILY,Shaily,74,Strong,improved
52,ULTRACEMCO,UltraTech Cement Ltd.,74,Strong,declined
53,ANANDRATHI,Anand Rathi Wea.,73,Strong,declined
54,CDSL,Central Depository Services (India) Ltd.,73,Strong,declined
55,COFORGE,Coforge,73,Strong,declined
56,HDFCAMC,HDFC Asset Management Company Ltd.,73,Strong,declined
57,INOXINDIA,Inox India,73,Strong,declined
58,LODHA,Lodha Developers,73,Strong,declined
59,MANKIND,Mankind Pharma,73,Strong,declined
60,TIPSMUSIC,Tips Music,73,Strong,declined
61,CIPLA,Cipla Ltd.,72,Strong,declined
62,ELGIEQUIP,Elgi Equipments Ltd.,72,Strong,declined
63,GODREJCP,Godrej Consumer Products Ltd.,72,Strong,held steady
64,POLYMED,Poly Medicure,72,Strong,declined
65,AJANTPHARM,Ajanta Pharmaceuticals Ltd.,71,Strong,improved
66,ASKAUTOLTD,ASK Automotive,71,Strong,held steady
67,CARTRADE,Cartrade Tech,71,Strong,held steady
68,ERIS,Eris Lifesciences Ltd.,71,Strong,held steady
69,IGIL,International Ge,71,Strong,declined
70,INDGN,Indegene,71,Strong,declined
71,KALYANKJIL,Kalyan Jewellers,71,Strong,declined
72,MEESHO,Meesho,71,Strong,declined
73,SHRIPISTON,SPR Auto Technologie,71,Strong,declined
74,SUDEEPPHRM,Sudeep Pharma,71,Strong,held steady
75,AEGISVOPAK,Aegis Vopak Term,70,Strong,declined
76,ALKEM,Alkem Laboratories Ltd.,70,Strong,held steady
77,BHARTIARTL,Bharti Airtel Ltd.,70,Strong,improved
78,CUMMINSIND,Cummins India Ltd.,70,Strong,declined
79,NESTLEIND,Nestle India,70,Strong,held steady
80,OBEROIRLTY,Oberoi Realty Ltd.,70,Strong,declined
81,PERSISTENT,Persistent Systems Ltd.,70,Strong,declined
82,SBIN,State Bank of India,70,Strong,held steady
83,THYROCARE,Thyrocare Tech,70,Strong,improved
