calendar_year,year_end_date,year_end_close,source
2000,2000-12-29,1320.28,Yahoo Finance (^GSPC daily)
2001,2001-12-31,1148.08,Yahoo Finance (^GSPC daily)
2002,2002-12-31,879.82,Yahoo Finance (^GSPC daily)
2003,2003-12-31,1111.92,Yahoo Finance (^GSPC daily)
2004,2004-12-31,1211.92,Yahoo Finance (^GSPC daily)
2005,2005-12-30,1248.29,Yahoo Finance (^GSPC daily)
2006,2006-12-29,1418.30,Yahoo Finance (^GSPC daily)
2007,2007-12-31,1468.36,Yahoo Finance (^GSPC daily)
2008,2008-12-31,903.25,Yahoo Finance (^GSPC daily)
2009,2009-12-31,1115.10,Yahoo Finance (^GSPC daily)
2010,2010-12-31,1257.64,Yahoo Finance (^GSPC daily)
2011,2011-12-30,1257.60,Yahoo Finance (^GSPC daily)
2012,2012-12-31,1426.19,Yahoo Finance (^GSPC daily)
2013,2013-12-31,1848.36,Yahoo Finance (^GSPC daily)
2014,2014-12-31,2058.90,Yahoo Finance (^GSPC daily)
2015,2015-12-31,2043.94,Yahoo Finance (^GSPC daily) — FRED cross-check window begins ~2016
2016,2016-12-30,2238.83,Yahoo Finance + FRED 10-year SP500 series (overlap window)
2017,2017-12-29,2673.61,Yahoo Finance + FRED 10-year SP500 series (overlap window)
2018,2018-12-31,2506.85,Yahoo Finance + FRED 10-year SP500 series (overlap window)
2019,2019-12-31,3230.78,Yahoo Finance + FRED 10-year SP500 series (overlap window)
2020,2020-12-31,3756.07,Yahoo Finance + FRED 10-year SP500 series (overlap window)
2021,2021-12-31,4766.18,Yahoo Finance + FRED 10-year SP500 series (overlap window)
2022,2022-12-30,3839.50,Yahoo Finance + FRED 10-year SP500 series (overlap window)
2023,2023-12-29,4769.83,Yahoo Finance + FRED 10-year SP500 series (overlap window)
2024,2024-12-31,5881.63,Yahoo Finance + FRED 10-year SP500 series (overlap window)
2025,2025-12-31,6845.50,Yahoo Finance + FRED 10-year SP500 series (overlap window)
