fiscal_year,year_label,ipo_count_total,ipo_amount_cr_total,ipo_count_mainboard,ipo_amount_cr_mainboard,ipo_count_sme,ipo_amount_cr_sme,source
2001-02,2002,7,1202,,,,,SEBI Handbook of Statistics 2010 (Table 5)
2002-03,2003,6,1039,,,,,SEBI Handbook of Statistics 2010 (Table 5)
2003-04,2004,21,3434,,,,,SEBI Handbook of Statistics 2010 (Table 5)
2004-05,2005,23,13749,,,,,SEBI Handbook of Statistics 2010 (Table 5)
2005-06,2006,79,10936,,,,,SEBI Handbook of Statistics 2010 (Table 5)
2006-07,2007,77,28504,,,,,SEBI Handbook of Statistics 2010 (Table 5)
2007-08,2008,85,42595,,,,,SEBI Handbook of Statistics 2010 (Table 5)
2008-09,2009,21,2082,,,,,SEBI Handbook of Statistics 2010 (Table 5)
2009-10,2010,39,24696,,,,,SEBI Handbook of Statistics 2010 (Table 5)
2010-11,2011,53,35558.74,,,,,SEBI Handbook of Statistics 2018 Part I (Table 1)
2011-12,2012,54,41514.62,,,,,SEBI Handbook of Statistics 2018 Part I (Table 1)
2012-13,2013,33,6528.07,,,,,SEBI Handbook of Statistics 2018 Part I (Table 1)
2013-14,2014,38,1236.12,,,,,SEBI Handbook of Statistics 2018 Part I (Table 1)
2014-15,2015,46,3311,,,,,SEBI Handbook of Statistics 2018 Part I (Table 1)
2015-16,2016,74,14815.08,,,,,SEBI Handbook of Statistics 2018 Part I (Table 1)
2016-17,2017,106,29104,,,,,SEBI Handbook of Statistics 2018 Part I (Table 1)
2017-18,2018,201,83684,,,,,SEBI Handbook of Statistics 2018 Part I (Table 1)
2018-19,2019,123,16086.54,,,,,SEBI Bulletin June 2019 (Table 5)
2019-20,2020,57,21285.65,,,,,SEBI Bulletin December 2020 (Table 5)
2020-21,2021,40,24677.96,,,,,SEBI Bulletin June 2021 (Table 5)
2021-22,2022,120,112552.79,,,,,SEBI Bulletin October 2022 (Table 5B)
2022-23,2023,164,54772.77,39,52439.67,125,2333.10,SEBI Bulletin April 2024 (Table 6)
2023-24,2024,272,67955.31,76,61859.85,196,6095.46,SEBI Bulletin April 2024 (Table 6)
2024-25,2025,320,172327.97,79,162516.82,241,9811.15,SEBI Bulletin October 2025 (Table 6)
2025-26,2026,366,188616.85,109,177029.25,257,11587.61,SEBI Bulletin April 2026 (Table 6)
