year,year_basis,ipo_count,ipo_amount_cr,fpo_count,fpo_amount_cr,total_capital_raised_cr,nifty50_close,nifty_midcap100_close,nifty_smallcap100_close,nifty_smallcap100_constituent_median
2001,FY ending Mar,7,1202,13,5300,7543,1059.00,,,
2002,FY ending Mar,6,1039,8,2600,4070,1093.50,,,
2003,FY ending Mar,21,3434,14,18831,23272,1879.70,,,
2004,FY ending Mar,23,13749,11,10891,28256,2080.50,,,
2005,FY ending Mar,79,10936,24,12358,27382,2836.50,,,
2006,FY ending Mar,77,28504,8,1292,33508,3966.40,,,
2007,FY ending Mar,85,42595,7,11916,87029,6138.60,,,
2008,FY ending Mar,21,2082,1,1500,16220,2959.10,,,
2009,FY ending Mar,39,24696,8,24540,57555,5201.00,,,
2010,FY ending Mar,53,35559,15,22546,67609,6134.50,,,
2011,FY ending Mar,54,41515,1,4578,48468,4624.30,,,
2012,FY ending Mar,33,6528,20,16982,32455,5905.10,,,
2013,FY ending Mar,38,1236,37,49839,55652,6304.00,,,
2014,FY ending Mar,46,3311,24,9141,19202,8282.70,,,
2015,FY ending Mar,74,14815,21,34112,58166,7946.30,13396.70,,
2016,FY ending Mar,106,29104,16,29547,62067,8185.80,14351.45,,
2017,FY ending Mar,201,83684,9,5185,110269,10530.00,21133.50,,
2018,FY ending Mar,,,,,,10862.55,17875.50,,
2019,FY ending Mar,,,,,,12168.45,17102.50,,
2020,FY ending Mar,,,,,,13981.75,20842.50,,
2021,CY (Jan-Dec),,,,,202048,17354.05,30442.90,,
2022,CY (Jan-Dec),,,,,90995,18105.30,31509.10,,
2023,CY (Jan-Dec),57,49434,,,144000,21731.40,46181.65,,
2024,CY (Jan-Dec),90,164000,,,373000,23644.80,57199.45,,
2025,CY (Jan-Dec),102,176000,,,306000,26130.00,,,
