,parent_line_item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.51,1.0,1.0,989.0,1108.0
Reserves,,1.0,952.0,996.0,354.0,3183.0
Borrowings,,98.0,2374.0,3273.0,4018.0,3731.0
Other Liabilities,,2.0,152.0,253.0,1387.0,400.0
Total Liabilities,,103.0,3479.0,4523.0,6747.0,8421.0
Fixed Assets,,20.0,3030.0,3491.0,5046.0,6650.0
CWIP,,8.0,152.0,53.0,167.0,210.0
Investments,,0.0,0.0,0.0,0.0,0.0
Other Assets,,75.0,297.0,980.0,1534.0,1560.0
Total Assets,,103.0,3479.0,4523.0,6747.0,8421.0
Land,Fixed Assets,5.0,808.0,890.0,1800.0,1892.0
Building,Fixed Assets,1.0,143.0,163.0,258.0,274.0
Plant Machinery,Fixed Assets,22.0,2333.0,2807.0,3611.0,5348.0
Equipments,Fixed Assets,0.0,4.0,4.0,6.0,7.0
Furniture n fittings,Fixed Assets,0.0,3.0,3.0,6.0,6.0
Vehicles,Fixed Assets,0.0,2.0,2.0,2.0,4.0
Intangible Assets,Fixed Assets,0.0,14.0,14.0,14.0,14.0
Other fixed assets,Fixed Assets,0.0,0.0,0.0,0.0,1.0
Gross Block,Fixed Assets,28.0,3306.0,3882.0,5698.0,7545.0
Accumulated Depreciation,Fixed Assets,9.0,276.0,392.0,651.0,894.0
Long term Borrowings,Borrowings,98.0,1745.0,2586.0,2353.0,347.0
Short term Borrowings,Borrowings,0.0,0.0,0.0,131.0,1771.0
Lease Liabilities,Borrowings,0.0,629.0,687.0,1534.0,1613.0
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,0.0,0.0,-0.0,0.0,-0.0
Non controlling int,Other Liabilities,0.0,0.0,0.0,152.0,128.0
Trade Payables,Other Liabilities,0.0,27.0,14.0,20.0,28.0
Advance from Customers,Other Liabilities,0.0,11.0,21.0,12.0,15.0
Other liability items,Other Liabilities,2.0,114.0,218.0,1203.0,229.0
Inventories,Other Assets,0.0,8.0,6.0,15.0,18.0
Trade receivables,Other Assets,2.0,70.0,131.0,120.0,186.0
Cash Equivalents,Other Assets,7.0,24.0,106.0,725.0,307.0
Loans n Advances,Other Assets,0.0,2.0,8.0,23.0,6.0
Other asset items,Other Assets,65.0,192.0,728.0,651.0,1044.0
