,parent_line_item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.51,1.0,1.0,989.0,1108.0
Reserves,,1.0,952.0,996.0,931.0,3183.0
Borrowings,,98.0,2374.0,3273.0,4009.0,3731.0
Other Liabilities,,2.0,152.0,253.0,193.0,429.0
Total Liabilities,,103.0,3479.0,4523.0,6123.0,8450.0
Fixed Assets,,20.0,3030.0,3491.0,4600.0,6650.0
CWIP,,8.0,152.0,53.0,157.0,210.0
Investments,,0.0,0.0,0.0,0.0,0.0
Other Assets,,75.0,297.0,980.0,1365.0,1589.0
Total Assets,,103.0,3479.0,4523.0,6123.0,8450.0
Land,Fixed Assets,4.9,807.83,889.92,1763.11,
Building,Fixed Assets,0.64,143.32,162.87,178.75,
Plant Machinery,Fixed Assets,22.14,2332.83,2806.73,3179.25,
Equipments,Fixed Assets,0.27,3.56,4.43,5.46,
Furniture n fittings,Fixed Assets,0.01,2.57,2.74,3.08,
Vehicles,Fixed Assets,0.09,2.15,2.05,2.36,
Intangible Assets,Fixed Assets,0.0,13.58,13.58,13.58,14.94
Other fixed assets,Fixed Assets,0.02,0.07,0.08,0.07,
Gross Block,Fixed Assets,28.07,3305.91,3882.4,5145.66,
Accumulated Depreciation,Fixed Assets,8.54,275.63,391.85,545.49,
Long term Borrowings,Borrowings,98.0,1745.0,2586.0,2353.0,347.0
Short term Borrowings,Borrowings,0.0,0.0,0.0,131.0,1771.0
Lease Liabilities,Borrowings,0.0,629.0,687.0,1525.0,1613.0
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,0.0,0.0,-0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,128.0
Trade Payables,Other Liabilities,0.0,27.0,14.0,11.0,28.0
Advance from Customers,Other Liabilities,0.0,11.0,21.0,12.0,
Other liability items,Other Liabilities,2.0,114.0,218.0,170.0,273.0
Inventories,Other Assets,0.0,8.0,6.0,9.0,18.0
Trade receivables,Other Assets,2.0,70.0,131.0,119.0,186.0
Cash Equivalents,Other Assets,7.0,24.0,106.0,592.0,307.0
Loans n Advances,Other Assets,0.0,2.0,8.0,23.0,10.0
Other asset items,Other Assets,65.0,192.0,728.0,622.0,1069.0
