,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,378.0,834.0,1010.0,1320.0,1340.0,1051.0,1198.0,2269.0
Expenses,,206.0,449.0,567.0,738.0,766.0,645.0,822.0,1842.0
Operating Profit,,172.0,385.0,443.0,582.0,574.0,406.0,375.0,427.0
OPM %,,45.0,46.0,44.0,44.0,43.0,39.0,31.0,19.0
Other Income,,1.0,66.0,68.0,133.0,46.0,62.0,58.0,5.0
Interest,,3.0,23.0,12.0,9.0,13.0,7.0,12.0,37.0
Depreciation,,12.0,24.0,32.0,39.0,48.0,55.0,77.0,187.0
Profit before tax,,158.0,405.0,468.0,668.0,560.0,406.0,344.0,207.0
Tax %,,31.0,22.0,23.0,32.0,27.0,26.0,23.0,27.0
Net Profit,,109.0,317.0,362.0,454.0,411.0,300.0,265.0,150.0
EPS in Rs,,12.45,14.23,17.83,16.16,11.8,10.52,4.68,
Dividend Payout %,,0.0,20.0,14.0,28.0,37.0,0.0,0.0,0.0
Sales Growth %,Sales,,121.0,21.0,31.0,2.0,-22.0,14.0,89.0
Material Cost %,Expenses,27.31,27.49,29.9,30.23,30.53,29.97,25.49,29.21
Manufacturing Cost %,Expenses,13.73,12.56,13.37,13.24,13.34,12.85,14.69,0.0
Employee Cost %,Expenses,7.84,7.81,7.55,7.61,8.82,12.93,20.95,22.38
Other Cost %,Expenses,5.71,6.0,5.31,4.84,4.48,5.66,7.53,29.59
Exceptional items,Other Income,0.16,6.29,3.36,74.22,15.68,44.84,40.85,-29.47
Other income normal,Other Income,0.44,60.02,64.61,59.07,30.67,17.0,17.6,34.09
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0
Exceptional items AT,Net Profit,0.0,5.0,3.0,50.0,11.0,33.0,31.0,-18.0
Profit excl Excep,Net Profit,109.0,312.0,360.0,403.0,400.0,267.0,234.0,168.0
Profit for PE,Net Profit,109.0,312.0,360.0,403.0,400.0,267.0,237.0,197.0
Profit for EPS,Net Profit,109.0,317.0,362.0,454.0,411.0,300.0,268.0,179.0
Profit Growth %,Net Profit,,186.0,15.0,12.0,-1.0,-33.0,-11.0,-17.0
