nse_symbol,company_name,industry,series,isin
AADHARHFC,Aadhar Hsg. Fin.,,EQ,INE883F01010
AARTIDRUGS,Aarti Drugs,,EQ,INE767A01016
AARTIIND,Aarti Industries,,EQ,INE769A01020
AARTIPHARM,Aarti Pharmalabs,,EQ,INE0LRU01027
AAVAS,Aavas Financiers Ltd.,FINANCIAL SERVICES,EQ,INE216P01012
ABB,ABB India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE117A01022
ABBOTINDIA,Abbott India,,EQ,INE358A01014
ABCAPITAL,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,EQ,INE674K01013
ABDL,Allied Blenders,,EQ,INE552Z01027
ABFRL,Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,EQ,INE647O01011
ABLBL,A B Lifestyle,,EQ,INE14LE01019
ABREL,A B Real Estate,,EQ,INE055A01016
ABSLAMC,Aditya AMC,,EQ,INE404A01024
ACC,ACC Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE012A01025
ACE,Action Const.Eq.,,EQ,INE731H01025
ACI,Archean Chem Inds,,EQ,INE128X01021
ACMESOLAR,ACME Solar Hold.,,EQ,INE622W01025
ACUTAAS,Acutaas Chemical,,EQ,INE00FF01025
ADANIENSOL,Adani Energy Sol,,EQ,INE931S01010
ADANIENT,Adani Enterp.,,EQ,INE423A01024
ADANIGREEN,Adani Green Energy Ltd.,ENERGY,EQ,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES,EQ,INE742F01042
ADANIPOWER,Adani Power Ltd.,ENERGY,EQ,INE814H01029
ADVENZYMES,Advanced Enzyme,,EQ,INE837H01020
AEGISLOG,Aegis Logistics,,EQ,INE208C01025
AEGISVOPAK,Aegis Vopak Term,,EQ,INE0INX01018
AEQUS,Aequs,,EQ,INE947N01017
AETHER,Aether Inds,,EQ,INE0BWX01014
AFCONS,Afcons Infrastr.,,EQ,INE101I01011
AFFLE,Affle 3i,,EQ,INE00WC01027
AGARWALEYE,Dr. Agarwal's Health,,EQ,INE943P01029
AHLUCONT,Ahluwalia Contracts,,EQ,INE758C01029
AIAENG,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE212H01026
AIIL,Authum Invest,,EQ,INE206F01022
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,PHARMA,EQ,INE031B01049
AKUMS,Akums Drugs & Pharmaceuticals,,EQ,INE09XN01023
ALIVUS,Alivus Life Sciences,,EQ,INE03Q201024
ALKEM,Alkem Laboratories Ltd.,PHARMA,EQ,INE540L01014
ALKYLAMINE,Alkyl Amines Chem,,EQ,INE150B01039
ALOKINDS,Alok Industries,,EQ,INE270A01029
AMBER,Amber Enterp.,,EQ,INE371P01015
AMBUJACEM,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE079A01024
ANANDRATHI,Anand Rathi Wea.,,EQ,INE463V01026
ANANTRAJ,Anant Raj,,EQ,INE242C01024
ANGELONE,Angel One,,EQ,INE732I01021
ANTHEM,Anthem Bioscienc,,EQ,INE0CZ201020
ANUP,Anup Engineering,,EQ,INE294Z01018
ANURAS,Anupam Rasayan,,EQ,INE930P01018
APARINDS,Apar Inds.,,EQ,INE372A01015
APLAPOLLO,APL Apollo Tubes Ltd.,METALS,EQ,INE702C01027
APLLTD,Alembic Pharma,,EQ,INE901L01018
APOLLO,Apollo Micro Systems,,EQ,INE713T01028
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,EQ,INE437A01024
APOLLOTYRE,Apollo Tyres Ltd.,AUTOMOBILE,EQ,INE438A01022
APTUS,Aptus Value Hou.,,EQ,INE852O01025
ARVIND,Arvind,,EQ,INE034A01011
