,parent_line_item,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Sales,,1129.0,1291.0,1470.0,1698.0,1960.0
Expenses,,949.0,1091.0,1219.0,1411.0,1525.0
Operating Profit,,180.0,199.0,251.0,287.0,434.0
OPM %,,16.0,15.0,17.0,17.0,22.0
Other Income,,55.0,17.0,77.0,91.0,98.0
Interest,,1.0,1.0,1.0,2.0,2.0
Depreciation,,43.0,20.0,21.0,28.0,31.0
Profit before tax,,191.0,195.0,306.0,349.0,500.0
Tax %,,27.0,24.0,23.0,17.0,13.0
Net Profit,,140.0,148.0,237.0,288.0,436.0
EPS in Rs,,5.15,5.46,8.67,10.51,15.96
Dividend Payout %,,73.0,87.0,75.0,71.0,63.0
Sales Growth %,Sales,,14.32,13.9,15.51,15.41
Material Cost %,Expenses,44.08,44.45,40.78,40.31,38.73
Manufacturing Cost %,Expenses,1.9,1.81,1.87,2.19,1.84
Employee Cost %,Expenses,8.87,13.29,8.5,9.18,8.24
Other Cost %,Expenses,29.2,25.0,31.77,31.43,29.03
Minority share,Net Profit,0.0,0.0,-1.0,-2.0,-2.0
Exceptional items AT,Net Profit,5.0,-34.0,-0.0,-2.0,2.0
Profit excl Excep,Net Profit,135.0,183.0,237.0,290.0,433.0
Profit for PE,Net Profit,135.0,183.0,236.0,287.0,432.0
Profit for EPS,Net Profit,140.0,148.0,236.0,286.0,434.0
Profit Growth %,Net Profit,,35.0,29.0,22.0,50.0
