,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,9835.0,10162.0,13631.0,18178.0,28324.0,31540.0
Interest,,5213.0,4889.0,6601.0,9568.0,15030.0,15985.0
Expenses,,2826.0,2908.0,3018.0,3951.0,8032.0,8458.0
Financing Profit,,1797.0,2364.0,4013.0,4659.0,5263.0,7096.0
Financing Margin %,,18.0,23.0,29.0,26.0,19.0,22.0
Other Income,,152.0,260.0,150.0,21.0,46.0,4.0
Depreciation,,334.0,276.0,226.0,288.0,390.0,538.0
Profit before tax,,1615.0,2348.0,3937.0,4392.0,4919.0,6562.0
Tax %,,23.0,23.0,25.0,24.0,26.0,25.0
Net Profit,,1245.0,1801.0,2946.0,3327.0,3655.0,4891.0
EPS in Rs,,3.2,4.69,8.51,8.41,9.64,11.42
Dividend Payout %,,0.0,3.0,2.0,2.0,4.0,5.0
Manufacturing Cost %,Expenses,0.11,0.52,0.5,0.55,0.53,0.0
Employee Cost %,Expenses,7.11,8.8,9.49,10.18,9.93,8.97
Other Cost %,Expenses,21.51,19.3,12.14,11.01,17.9,17.85
Minority share,Net Profit,-119.0,-153.0,83.0,-177.0,10.0,-45.0
Exceptional items AT,Net Profit,-0.0,7.0,-2.0,12.0,6.0,-33.0
Profit excl Excep,Net Profit,1245.0,1794.0,2948.0,3315.0,3649.0,4924.0
Profit for PE,Net Profit,1126.0,1642.0,3032.0,3139.0,3658.0,4879.0
Profit for EPS,Net Profit,1126.0,1648.0,3029.0,3150.0,3665.0,4846.0
Profit Growth %,Net Profit,,46.0,85.0,4.0,17.0,33.0
