,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1102.0,1479.0,1818.0,1492.0,1560.0,2217.0,3183.0,4452.0,5690.0,8069.0
Expenses,,874.0,1185.0,1375.0,1095.0,1122.0,1683.0,2499.0,3573.0,4857.0,6832.0
Operating Profit,,228.0,294.0,443.0,398.0,438.0,534.0,684.0,879.0,833.0,1238.0
OPM %,,21.0,20.0,24.0,27.0,28.0,24.0,21.0,20.0,15.0,15.0
Other Income,,11.0,12.0,14.0,3.0,10.0,8.0,13.0,18.0,0.0,50.0
Interest,,90.0,112.0,141.0,149.0,107.0,84.0,120.0,175.0,217.0,309.0
Depreciation,,113.0,149.0,176.0,196.0,192.0,206.0,222.0,278.0,347.0,444.0
Profit before tax,,37.0,44.0,140.0,56.0,149.0,252.0,355.0,445.0,270.0,534.0
Tax %,,-117.0,28.0,30.0,28.0,35.0,35.0,29.0,24.0,26.0,28.0
Net Profit,,80.0,32.0,97.0,40.0,97.0,163.0,251.0,337.0,201.0,384.0
EPS in Rs,,1387.02,313.39,48.39,19.88,46.08,77.19,117.56,144.11,81.56,160.96
Dividend Payout %,,0.0,3.0,5.0,0.0,0.0,5.0,10.0,8.0,6.0,7.0
Sales Growth %,Sales,,34.23,22.91,-17.91,4.52,42.12,43.55,39.88,27.83,41.8
Exceptional items,Other Income,0.0,0.0,0.0,-6.0,1.0,1.0,0.0,1.0,-26.0,-13.0
Other income normal,Other Income,10.0,12.0,14.0,9.0,10.0,6.0,13.0,17.0,26.0,62.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-33.0,-6.0,0.0
Exceptional items AT,Net Profit,0.0,0.0,0.0,-4.0,0.0,1.0,0.0,1.0,-18.0,-9.0
Profit excl Excep,Net Profit,79.0,32.0,97.0,44.0,97.0,162.0,251.0,337.0,219.0,393.0
Profit for PE,Net Profit,79.0,32.0,97.0,44.0,97.0,162.0,248.0,304.0,212.0,393.0
Profit for EPS,Net Profit,80.0,32.0,97.0,40.0,97.0,163.0,248.0,304.0,195.0,384.0
Profit Growth %,Net Profit,,-60.0,208.0,-54.0,120.0,67.0,53.0,22.0,-30.0,85.0
